Wavelength,Abs,PL
745.458,0.84,
745.907,0.83,
746.355,0.82,
746.804,0.81,
747.252,0.8,
747.701,0.79,
748.149,0.78,
748.598,0.77,
749.046,0.76,
749.495,0.74,
749.943,0.74,
750.391,0.72,
750.84,0.71,
751.288,0.7,
751.736,0.68,
752.184,0.67,
752.632,0.66,
753.081,0.64,
753.529,0.63,
753.977,0.62,
754.425,0.6,
754.873,0.59,
755.321,0.57,
755.769,0.56,
756.217,0.54,
756.665,0.53,
757.113,0.51,
757.56,0.5,
758.008,0.48,
758.456,0.47,
758.904,0.45,
759.351,0.44,
759.799,0.42,
760.247,0.41,
760.694,0.4,
761.142,0.38,
761.59,0.37,
762.037,0.36,
762.485,0.34,
762.932,0.33,
763.38,0.32,
763.827,0.31,
764.274,0.29,
764.722,0.28,
765.169,0.27,
765.616,0.26,
766.064,0.25,
766.511,0.24,
766.958,0.23,
767.405,0.22,
767.852,0.21,
768.299,0.2,
768.747,0.19,
769.194,0.18,
769.641,0.18,
770.088,0.17,
770.535,0.16,
770.981,0.15,
771.428,0.15,
771.875,0.14,
772.322,0.13,
772.769,0.13,
773.216,0.12,
773.662,0.12,
774.109,0.11,
774.556,0.11,
775.002,0.11,
775.449,0.1,
775.896,0.1,
776.342,0.09,
776.789,0.09,
777.235,0.09,
777.682,0.08,
778.128,0.08,
778.574,0.08,
779.021,0.08,
779.467,0.07,
779.913,0.07,
780.36,0.07,
780.806,0.07,
781.252,0.06,
781.698,0.06,
782.144,0.06,
782.591,0.06,
783.037,0.06,
783.483,0.06,
783.929,0.06,
784.375,0.06,
784.821,0.05,
785.267,0.05,
785.713,0.05,
786.158,0.05,
786.604,0.05,
787.05,0.05,
787.496,0.05,
787.942,0.05,
788.387,0.05,
788.833,0.05,
789.279,0.05,
789.724,0.05,
790.17,0.05,
790.615,0.05,
791.061,0.05,
791.506,0.05,
791.952,0.05,
792.397,0.06,
792.843,0.05,
793.288,0.06,
793.733,0.06,
794.179,0.06,
794.624,0.06,
795.069,0.06,
795.514,0.06,
795.96,0.06,
796.405,0.06,
796.85,0.06,
797.295,0.06,
797.74,0.06,
798.185,0.06,
798.63,0.06,
799.075,0.06,
799.52,0.06,
799.965,0.06,
800.41,0.06,
800.854,0.06,
801.299,0.06,
801.744,0.07,
802.189,0.06,
802.633,0.07,
803.078,0.07,
803.523,0.07,
803.967,0.07,
804.412,0.07,
804.856,0.07,
805.301,0.07,
805.745,0.07,
806.19,0.07,
806.634,0.07,
807.079,0.07,
807.523,0.07,
807.967,0.07,
808.412,0.07,
808.856,0.07,
809.3,0.08,
809.744,0.08,
810.188,0.08,
810.633,0.08,
811.077,0.08,
811.521,0.08,
811.965,0.08,
812.409,0.08,
812.853,0.08,
813.297,0.08,
813.741,0.08,
814.184,0.08,
814.628,0.08,
815.072,0.08,
815.516,0.08,
815.96,0.08,
816.403,0.08,
816.847,0.09,
817.291,0.08,
817.734,0.08,
818.178,0.08,
818.621,0.09,
819.065,0.08,
819.508,0.08,
819.952,0.09,
820.395,0.09,
820.839,0.09,
821.282,0.09,
821.725,0.09,
822.169,0.09,
822.612,0.09,
823.055,0.09,
823.498,0.09,
823.941,0.09,
824.385,0.09,
824.828,0.09,
825.271,0.09,
825.714,0.09,
826.157,0.09,
826.6,0.09,
827.043,0.09,
827.486,0.09,
827.928,0.09,
828.371,0.09,
828.814,0.09,
829.257,0.09,
829.7,0.09,
830.142,0.09,
830.585,0.09,
831.028,0.09,
831.47,0.09,
831.913,0.09,
832.355,0.09,
832.798,0.09,
833.24,0.09,
833.683,0.09,
834.125,0.09,
834.568,0.09,
835.01,0.09,
835.452,0.09,
835.895,0.09,
836.337,0.09,
836.779,0.09,
837.221,0.09,
837.663,0.08,
838.106,0.09,
838.548,0.09,
838.99,0.08,
839.432,0.08,
839.874,0.08,
840.316,0.08,
840.758,0.08,
841.199,0.08,
841.641,0.08,
842.083,0.08,
842.525,0.08,
842.967,0.08,
843.408,0.08,
843.85,0.08,
844.292,0.08,
844.733,0.08,
845.175,0.08,
845.617,0.08,
846.058,0.08,
846.5,0.08,
846.941,0.08,
847.383,0.08,
847.824,0.07,
848.265,0.07,
848.707,0.07,
849.148,0.07,
849.589,0.07,
850.03,0.07,
850.472,0.07,
850.913,0.07,
851.354,0.07,
851.795,0.07,
852.236,0.07,
852.677,0.07,
853.118,0.07,
853.559,0.07,
854,0.07,
854.441,0.06,
854.882,0.06,
855.323,0.06,
855.764,0.06,
856.204,0.06,
856.645,0.06,
857.086,0.06,
857.526,0.06,
857.967,0.06,
858.408,0.06,
858.848,0.06,
859.289,0.06,
859.729,0.06,
860.17,0.06,
860.61,0.05,
861.051,0.05,
861.491,0.05,
861.931,0.05,
862.372,0.05,
862.812,0.05,
863.252,0.05,
863.692,0.05,
864.133,0.05,
864.573,0.05,
865.013,0.05,
865.453,0.05,
865.893,0.05,
866.333,0.04,
866.773,0.04,
867.213,0.04,
867.653,0.04,
868.093,0.04,
868.532,0.04,
868.972,0.04,
869.412,0.04,
869.852,0.04,
870.291,0.04,
870.731,0.04,
871.171,0.04,
871.61,0.04,
872.05,0.04,
872.49,0.04,
872.929,0.04,
873.368,0.03,
873.808,0.03,
874.247,0.03,
874.687,0.03,
875.126,0.03,
875.565,0.03,
876.005,0.03,
876.444,0.03,
876.883,0.03,
877.322,0.03,
877.761,0.03,
878.2,0.03,
878.64,0.02,
879.079,0.02,
879.518,0.02,
879.957,0.02,
880.395,0.02,
880.834,0.02,
881.273,0.02,
881.712,0.02,
882.151,0.02,
882.59,0.02,
883.028,0.02,
883.467,0.02,
883.906,0.02,
884.344,0.02,
884.783,0.02,
885.221,0.01,
885.66,0.01,
886.098,0.01,
886.537,0.01,
886.975,0.01,
887.414,0.01,
887.852,0.01,
888.29,0.01,
888.729,0.01,
889.167,0.01,
889.605,0.01,
890.043,0.01,
890.481,0.01,
890.92,0.01,
891.358,0.01,
891.796,0.01,
892.234,0.01,
892.672,0,
893.11,0,
893.548,0,
893.985,0,
894.423,0,
894.861,0,
895.299,0,
895.737,0,
896.174,0,
896.612,0,
897.05,0,
897.487,0,
897.925,0,
898.362,0,
898.8,0,
899.237,0,
899.675,0,
900.112,0,
