Wavelength,Abs,Wavelength2,PL
521.303,2.82,803.88324,0.12595
521.765,2.61,804.15485,0.12332
522.227,3.01,804.42651,0.11895
522.689,2.74,804.69812,0.11895
523.151,2.54,804.96979,0.11778
523.613,2.81,805.24139,0.11079
524.075,2.76,805.513,0.10933
524.537,2.74,805.78461,0.10787
524.999,2.83,806.05621,0.10758
525.461,2.63,806.32782,0.10408
525.923,2.54,806.59943,0.10583
526.385,2.84,806.87103,0.09942
526.846,2.69,807.14258,0.09446
527.308,2.8,807.41418,0.093
527.77,2.71,807.68573,0.09329
528.232,2.6,807.95728,0.09271
528.693,2.76,808.22888,0.08834
529.155,2.81,808.50043,0.08659
529.617,2.58,808.77197,0.0828
530.078,2.68,809.04352,0.08455
530.54,2.71,809.31506,0.0828
531.001,2.59,809.58661,0.08163
531.463,2.72,809.85809,0.08076
531.924,2.67,810.12964,0.08076
532.386,2.63,810.40112,0.07974
532.847,2.53,810.67267,0.07873
533.309,2.77,810.94415,0.07772
533.77,2.61,811.21564,0.0767
534.232,2.73,811.48712,0.07569
534.693,2.67,811.75861,0.07468
535.154,2.79,812.03009,0.07366
535.616,2.66,812.30157,0.07265
536.077,2.8,812.57306,0.07164
536.538,2.69,812.84448,0.07062
536.999,2.78,813.11597,0.06961
537.461,2.7,813.38739,0.0686
537.922,2.76,813.65887,0.06758
538.383,2.61,813.9303,0.06657
538.844,2.58,814.20172,0.06556
539.305,2.57,814.47314,0.06454
539.766,2.55,814.74457,0.06353
540.227,2.56,815.01599,0.06252
540.688,2.69,815.28741,0.0615
541.15,2.67,815.55878,0.06049
541.611,2.59,815.8302,0.05948
542.071,2.72,816.10156,0.05847
542.532,2.48,816.37299,0.05745
542.993,2.56,816.64435,0.05644
543.454,2.64,816.91571,0.05543
543.915,2.79,817.18707,0.05441
544.376,2.63,817.45844,0.0534
544.837,2.65,817.7298,0.05239
545.298,2.56,818.00116,0.05137
545.758,2.61,818.27252,0.05036
546.219,2.66,818.54382,0.04935
546.68,2.67,818.81519,0.04834
547.141,2.82,819.08649,0.04732
547.601,2.63,819.35785,0.04631
548.062,2.69,819.62915,0.0453
548.522,2.65,819.90045,0.04428
548.983,2.58,820.17175,0.04327
549.444,2.65,820.44305,0.04226
549.904,2.53,820.71436,0.04125
